
name                                     publisher                                                   version
----                                     ---------                                                   -------
MSEnterpriseApplication                  Microsoft.SystemCenter                                      1.0.5.0
Watchdog                                 Microsoft.M365Security.Kevlar                               1.1.0.0
AdminCenter                              Microsoft.AdminCenter                                       0.70.0.0
ServiceFabricLinuxNode                   Microsoft.Azure.ServiceFabric.PrivateTest                   2.5.0.0
AdminCenter.Test                         Microsoft.AdminCenter                                       0.47.0.0
ServiceFabricLinuxNode-PrivateTest       Microsoft.Azure.ServiceFabric.PrivateTest                   2.1.1.0
ServiceFabricLinuxNode-updatefix         Microsoft.Azure.ServiceFabric.PrivateTest                   0.0.0.5
ServiceFabricLinuxNodeAlsantam           Microsoft.Azure.ServiceFabric.PrivateTest                   2.1.0.0
ServiceFabricLinuxNodeAnmenard           Microsoft.Azure.ServiceFabric.PrivateTest                   1.1.0.1
ServiceFabricLinuxNodeApatrush           Microsoft.Azure.ServiceFabric.PrivateTest                   1.5.0.0
ServiceFabricLinuxNodeApatrusheva        Microsoft.Azure.ServiceFabric.PrivateTest                   2.0.0.2
ProtectVClientLinuxExtension             Gemalto.SafeNet.ProtectV                                    3.0.0.205
ServiceFabricNode                        Microsoft.Azure.ServiceFabric.PrivateTest                   1.1.0.7
ServiceFabricNodealsantam-Test           Microsoft.Azure.ServiceFabric.PrivateTest                   1.1.0.40
ProtectVClientWindowsExtension           Gemalto.SafeNet.ProtectV                                    3.0.0.318
ServiceFabricNodeapatrusheva-Test        Microsoft.Azure.ServiceFabric.PrivateTest                   1.8.0.0
ServiceFabricNodeArmalsantam-Test        Microsoft.Azure.ServiceFabric.PrivateTest                   1.0.0.1
GuestAttestation                         Microsoft.Azure.Security.WindowsAttestation                 1.0.1.43
AcronisBackup                            Acronis.Backup                                              1.0.51
VMJITAccessExtension                     Microsoft.AzureSecurity.JITAccess                           1.0.1.0
AcronisBackupLinux                       Acronis.Backup                                              1.0.33
Site24x7ApmInsightExtn                   Site24x7                                                    1.9.0.0
Site24x7LinuxServerExtn                  Site24x7                                                    1.8.0.0
AHBForRHEL                               Microsoft.Azure.AzureHybridBenefit                          1.0.4
Site24x7WindowsServerExtn                Site24x7                                                    1.8.0.0
AzureHardwareHealthExtensionForLinux     Microsoft.Azure.HardwareHealthService                       1.0.2.8
AzureHardwareHealthExtensionForWindows   Microsoft.Azure.HardwareHealthService                       1.0.0.5
NetworkWatcherAgentLinux                 Microsoft.Azure.NetworkWatcher                              1.4.3783.1
NetworkWatcherAgentWindows               Microsoft.Azure.NetworkWatcher                              1.4.3783.1
GatewayServer                            Microsoft.Azure.SCOMMI                                      1.0.0.5
ChaosLinuxAgent                          Microsoft.Azure.Chaos                                       1.2.47
DotnetAgent                              HPE.Security.ApplicationDefender                            1.6.14.0
LogCollector                             Microsoft.Interceptor                                       1.0.2
ChaosWindowsAgent                        Microsoft.Azure.Chaos                                       1.2.47
GatewayServer.Test                       Microsoft.Azure.SCOMMI                                      1.0.0.52
