
Name                                                                            Value
----                                                                            -----
Acronis.Backup.AcronisBackup                                                    1.0.51
Acronis.Backup.AcronisBackupLinux                                               1.0.33
alertlogic.AlertLogicLM                                                         1.3.0.1
AlertLogic.Extension.AlertLogicLM                                               1.9.1.0
bmc.ctm.AgentWinExt                                                             9.0.0.1
Chef.Bootstrap.WindowsAzure.ChefClient                                          1210.14.1.2
Chef.Bootstrap.WindowsAzure.LinuxChefClient                                     1210.14.1.2
CloudLinkEMC.SecureVM.CloudLinkSecureVMLinuxAgent                               6.8.93.0
CloudLinkEMC.SecureVM.CloudLinkSecureVMWindowsAgent                             6.8.93.0
Confer.ConferForAzure                                                           1.0.5.40
CrowdStrike.Falcon.FalconSensorLinux                                            1.3.0
CrowdStrike.Falcon.FalconSensorWindows                                          1.3.0
ctm.bmc.com.BmcCtmAgentLinux                                                    9.0.0.1
Datadog.Agent.DatadogLinuxAgent                                                 9.0.0
Datadog.Agent.DatadogWindowsAgent                                               8.1.0
Dh2ico.DxEnterpriseForLinux                                                     20.0.218
Dh2ico.DxEnterpriseForWindows                                                   20.0.246
dynatrace.ruxit.dtmanaged                                                       1.4.0.13
dynatrace.ruxit.oneAgentLinux                                                   2.300.0.3
dynatrace.ruxit.oneAgentManagedWindows                                          1.0.0.4
dynatrace.ruxit.oneAgentWindows                                                 2.300.0.3
Elastic.ElasticAgent.linux                                                      1.3.0.0
Elastic.ElasticAgent.windows                                                    1.3.0.0
ESET.FileSecurity                                                               7.2.12004.1002
Gemalto.SafeNet.ProtectV.ProtectVClientLinuxExtension                           3.0.0.205
Gemalto.SafeNet.ProtectV.ProtectVClientWindowsExtension                         3.0.0.318
HPE.Security.ApplicationDefender.DotnetAgent                                    1.6.14.0
hpe.serviceguard.ha.dr.HPEServiceguardforLinux                                  2.0.0.2
KevlarExtensions.M365Security.SecureOS.SecureOSExtension                        1.10.0.0
KevlarExtensions.M365SecurityHostIDS.HostIDSExtension                           1.80.0.0
KevlarExtensions.M365SecurityHostIDS.ODLExtension                               1.0.20210604.0404
KevlarExtensions.M365SecurityInventory.SecurityInventoryExtension               1.14.0.0
KevlarExtensions.M365SecurityInventory.StarboardSherpaExtension                 1.23.0.0
KevlarExtensions.M365SecurityODL.ODLExtension                                   1.114.0.0
KevlarExtensions.M365SecurityTLSExtension.TLSExtension                          1.14.0.0
logzio.LogzioLogExtensionLinux                                                  1.0.0
M365Security.KevlarExtensions.TorusExtension                                    2.30.0.0
McAfee.EndpointSecurity.McAfeeEndpointSecurity                                  6.0
Microsoft.AdminCenter.AdminCenter                                               0.70.0.0
Microsoft.AdminCenter.AdminCenter.Test                                          0.47.0.0
Microsoft.AKS.Compute.AKS-Engine.Linux.Billing                                  1.0.0
Microsoft.AKS.Compute.AKS-Engine.Windows.Billing                                1.0.0
Microsoft.AKS.Compute.AKS.Linux.AKSNode                                         1.400
Microsoft.AKS.Compute.AKS.Linux.Billing                                         1.0.0
Microsoft.AKS.Compute.AKS.Windows.AKSNode                                       2.115
Microsoft.AKS.Compute.AKS.Windows.Billing                                       1.0.0
Microsoft.AksArcForLinux.AksArcBareMetalAgent                                   1.0.1
Microsoft.Azure.ActiveDirectory.AADLoginForWindows                              2.2.0.0
Microsoft.Azure.ActiveDirectory.AADSSHLoginForLinux                             1.0.3322.1
Microsoft.Azure.ActiveDirectory.LinuxSSH.AADLoginForLinux                       1.0.1588.3
Microsoft.Azure.Applications.IaaS47C6E03DTest                                   1.0.0.3
Microsoft.Azure.Automation.HybridWorker.HybridWorkerForLinux                    1.1.31
Microsoft.Azure.Automation.HybridWorker.HybridWorkerForWindows                  1.3.63
Microsoft.Azure.Automation.HybridWorker.Test.HybridWorkerForWindows             2.0.4
Microsoft.Azure.AzureDefenderForServers.MDE.Linux                               1.0.9.2
Microsoft.Azure.AzureDefenderForServers.MDE.Windows                             1.0.17.0
Microsoft.Azure.AzureDefenderForSQL.AdvancedThreatProtection.Windows            2.0.3311.312
Microsoft.Azure.AzureDefenderForSQL.VulnerabilityAssessment.Windows             2.0.2354.98
Microsoft.Azure.AzureHybridBenefit.AHBForRHEL                                   1.0.4
Microsoft.Azure.Backup.Test.MyBackupTest                                        1.0.139.0
Microsoft.Azure.Backup.Test.MyBackupTestLinuxInt                                1.0.9175.0
Microsoft.Azure.Batch.BatchLinux                                                1.0.201239
Microsoft.Azure.Batch.BatchWindows                                              1.0.201239
Microsoft.Azure.ChangeTrackingAndInventory.ChangeTracking-Linux                 2.35.0.0
Microsoft.Azure.ChangeTrackingAndInventory.ChangeTracking-Windows               2.35.0.0
Microsoft.Azure.Chaos.ChaosLinuxAgent                                           1.2.47
Microsoft.Azure.Chaos.ChaosWindowsAgent                                         1.2.47
Microsoft.Azure.ContainerUpstream.CAPZ.Linux.Bootstrapping                      1.1.1
Microsoft.Azure.ContainerUpstream.CAPZ.Windows.Bootstrapping                    1.0.0
Microsoft.Azure.Diagnostics.ApplicationMonitoringWindows                        2.8.47.398
Microsoft.Azure.Diagnostics.Edp.ApplicationMonitoringWindows                    2.8.33
Microsoft.Azure.Diagnostics.Edp.IaaSDiagnostics                                 1.18.0.3
Microsoft.Azure.Diagnostics.Edp.LinuxDiagnostic                                 3.0.129
Microsoft.Azure.Diagnostics.IaaSDiagnostics                                     1.22.0.1
Microsoft.Azure.Diagnostics.LinuxDiagnostic                                     4.1.24
Microsoft.Azure.Extensions.CustomScript                                         2.1.13
Microsoft.Azure.Extensions.DockerExtension                                      1.2.2
Microsoft.Azure.Extensions.Edp.GATestExtGo                                      1.2.0.0
Microsoft.Azure.Extensions.Edp.LinuxHibernateTestExtension                      1.0.1
Microsoft.Azure.Extensions.Edp.RunCommandHandlerLinuxTest                       1.14.0
Microsoft.Azure.Extensions.Edp.RunCommandHandlerWindowsTest                     2.0.11
Microsoft.Azure.Extensions.Edp.WindowsHibernateTestExtension                    1.0.6
Microsoft.Azure.Extensions.ElasticSANExtension.ESANWindowsOSExtension           1.12
Microsoft.Azure.Extensions.FixEmulatedIO                                        1.0.0
Microsoft.Azure.Extensions.FixLinuxDiagnostic                                   1.0.0
Microsoft.Azure.Extensions.GuestActionForLinux                                  1.0.0
Microsoft.Azure.Extensions.GuestActionForWindows                                1.0.0
Microsoft.Azure.Extensions.LinuxAsm                                             2.2.5
Microsoft.Azure.FileServer.Edp.FileServerIaaS                                   1.0.0.1
Microsoft.Azure.FleetDiagnostics.FleetDiagnosticsForLinux                       2.19.62023
Microsoft.Azure.FleetDiagnostics.FleetDiagnosticsForWindows                     3.0.3002
Microsoft.Azure.Geneva.GenevaMonitoring                                         2.57.0.2
Microsoft.Azure.Geneva.GenevaMonitoringARM64                                    2.54.0.4
Microsoft.Azure.Geneva.GenevaMonitoringTest                                     2.63.0.11
Microsoft.Azure.HardwareHealthService.AzureHardwareHealthExtensionForLinux      1.0.2.8
Microsoft.Azure.HardwareHealthService.AzureHardwareHealthExtensionForWindows    1.0.0.5
Microsoft.Azure.HybridFabric.HybridFabricAgentForWindows                        1.0.0
Microsoft.Azure.KeyVault.Edp.KeyVaultForLinux                                   1.0.1265.21
Microsoft.Azure.KeyVault.Edp.KeyVaultForWindows                                 1.0.1257.24
Microsoft.Azure.KeyVault.KeyVaultForLinux                                       3.5.3041.185
Microsoft.Azure.KeyVault.KeyVaultForWindows                                     4.0.3316.272
