"PSPath","PSParentPath","PSChildName","PSProvider","PSIsContainer","Mode","ModeWithoutHardLink","VersionInfo","BaseName","ResolvedTarget","Target","LinkType","Name","Length","DirectoryName","Directory","IsReadOnly","Exists","FullName","Extension","CreationTime","CreationTimeUtc","LastAccessTime","LastAccessTimeUtc","LastWriteTime","LastWriteTimeUtc","LinkTarget","UnixFileMode","Attributes"
"Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01\S1E01 - Head Cases.mkv","Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01","S1E01 - Head Cases.mkv","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             \\pvr\Series\Boston Legal\Season 01\S1E01 - Head Cases.mkv
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","S1E01 - Head Cases","\\pvr\Series\Boston Legal\Season 01\S1E01 - Head Cases.mkv",,,"S1E01 - Head Cases.mkv","151739907","\\pvr\Series\Boston Legal\Season 01","\\pvr\Series\Boston Legal\Season 01","False","True","\\pvr\Series\Boston Legal\Season 01\S1E01 - Head Cases.mkv",".mkv","2025-04-02 4:35:11 PM","2025-04-02 8:35:11 PM","2025-04-02 5:09:26 PM","2025-04-02 9:09:26 PM","2025-04-02 5:09:26 PM","2025-04-02 9:09:26 PM",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01\S1E02 - Still Crazy After All These Years.mkv","Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01","S1E02 - Still Crazy After All These Years.mkv","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             \\pvr\Series\Boston Legal\Season 01\S1E02 - Still Crazy After All These Years.mkv
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","S1E02 - Still Crazy After All These Years","\\pvr\Series\Boston Legal\Season 01\S1E02 - Still Crazy After All These Years.mkv",,,"S1E02 - Still Crazy After All These Years.mkv","159568004","\\pvr\Series\Boston Legal\Season 01","\\pvr\Series\Boston Legal\Season 01","False","True","\\pvr\Series\Boston Legal\Season 01\S1E02 - Still Crazy After All These Years.mkv",".mkv","2025-04-02 5:09:33 PM","2025-04-02 9:09:33 PM","2025-04-02 5:42:50 PM","2025-04-02 9:42:50 PM","2025-04-02 5:42:50 PM","2025-04-02 9:42:50 PM",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01\S1E03 - Catch And Release.mkv","Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01","S1E03 - Catch And Release.mkv","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             \\pvr\Series\Boston Legal\Season 01\S1E03 - Catch And Release.mkv
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","S1E03 - Catch And Release","\\pvr\Series\Boston Legal\Season 01\S1E03 - Catch And Release.mkv",,,"S1E03 - Catch And Release.mkv","162648247","\\pvr\Series\Boston Legal\Season 01","\\pvr\Series\Boston Legal\Season 01","False","True","\\pvr\Series\Boston Legal\Season 01\S1E03 - Catch And Release.mkv",".mkv","2025-04-02 5:42:56 PM","2025-04-02 9:42:56 PM","2025-04-02 6:13:40 PM","2025-04-02 10:13:40 PM","2025-04-02 6:13:40 PM","2025-04-02 10:13:40 PM",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01\S1E04 - Change of Course.mkv","Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01","S1E04 - Change of Course.mkv","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             \\pvr\Series\Boston Legal\Season 01\S1E04 - Change of Course.mkv
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","S1E04 - Change of Course","\\pvr\Series\Boston Legal\Season 01\S1E04 - Change of Course.mkv",,,"S1E04 - Change of Course.mkv","152370888","\\pvr\Series\Boston Legal\Season 01","\\pvr\Series\Boston Legal\Season 01","False","True","\\pvr\Series\Boston Legal\Season 01\S1E04 - Change of Course.mkv",".mkv","2025-04-02 6:13:45 PM","2025-04-02 10:13:45 PM","2025-04-02 6:45:08 PM","2025-04-02 10:45:08 PM","2025-04-02 6:45:08 PM","2025-04-02 10:45:08 PM",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01\S1E05 - An Eye For An Eye.mkv","Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01","S1E05 - An Eye For An Eye.mkv","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             \\pvr\Series\Boston Legal\Season 01\S1E05 - An Eye For An Eye.mkv
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","S1E05 - An Eye For An Eye","\\pvr\Series\Boston Legal\Season 01\S1E05 - An Eye For An Eye.mkv",,,"S1E05 - An Eye For An Eye.mkv","158697678","\\pvr\Series\Boston Legal\Season 01","\\pvr\Series\Boston Legal\Season 01","False","True","\\pvr\Series\Boston Legal\Season 01\S1E05 - An Eye For An Eye.mkv",".mkv","2025-04-02 6:45:13 PM","2025-04-02 10:45:13 PM","2025-04-02 7:16:00 PM","2025-04-02 11:16:00 PM","2025-04-02 7:16:00 PM","2025-04-02 11:16:00 PM",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01\S1E06 - Truth Be Told.mkv","Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01","S1E06 - Truth Be Told.mkv","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             \\pvr\Series\Boston Legal\Season 01\S1E06 - Truth Be Told.mkv
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","S1E06 - Truth Be Told","\\pvr\Series\Boston Legal\Season 01\S1E06 - Truth Be Told.mkv",,,"S1E06 - Truth Be Told.mkv","169902237","\\pvr\Series\Boston Legal\Season 01","\\pvr\Series\Boston Legal\Season 01","False","True","\\pvr\Series\Boston Legal\Season 01\S1E06 - Truth Be Told.mkv",".mkv","2025-04-02 7:16:05 PM","2025-04-02 11:16:05 PM","2025-04-02 7:48:52 PM","2025-04-02 11:48:52 PM","2025-04-02 7:48:52 PM","2025-04-02 11:48:52 PM",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01\S1E07 - Questionable Characters.mkv","Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01","S1E07 - Questionable Characters.mkv","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             \\pvr\Series\Boston Legal\Season 01\S1E07 - Questionable Characters.mkv
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","S1E07 - Questionable Characters","\\pvr\Series\Boston Legal\Season 01\S1E07 - Questionable Characters.mkv",,,"S1E07 - Questionable Characters.mkv","161903191","\\pvr\Series\Boston Legal\Season 01","\\pvr\Series\Boston Legal\Season 01","False","True","\\pvr\Series\Boston Legal\Season 01\S1E07 - Questionable Characters.mkv",".mkv","2025-04-02 7:48:58 PM","2025-04-02 11:48:58 PM","2025-04-02 8:23:00 PM","2025-04-03 12:23:00 AM","2025-04-02 8:23:00 PM","2025-04-03 12:23:00 AM",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01\S1E08 - Loose Lips.mkv","Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01","S1E08 - Loose Lips.mkv","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             \\pvr\Series\Boston Legal\Season 01\S1E08 - Loose Lips.mkv
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","S1E08 - Loose Lips","\\pvr\Series\Boston Legal\Season 01\S1E08 - Loose Lips.mkv",,,"S1E08 - Loose Lips.mkv","153254856","\\pvr\Series\Boston Legal\Season 01","\\pvr\Series\Boston Legal\Season 01","False","True","\\pvr\Series\Boston Legal\Season 01\S1E08 - Loose Lips.mkv",".mkv","2025-04-02 8:23:05 PM","2025-04-03 12:23:05 AM","2025-04-02 8:55:32 PM","2025-04-03 12:55:32 AM","2025-04-02 8:55:32 PM","2025-04-03 12:55:32 AM",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01\S1E09 - A Greater Good.mkv","Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01","S1E09 - A Greater Good.mkv","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             \\pvr\Series\Boston Legal\Season 01\S1E09 - A Greater Good.mkv
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","S1E09 - A Greater Good","\\pvr\Series\Boston Legal\Season 01\S1E09 - A Greater Good.mkv",,,"S1E09 - A Greater Good.mkv","163784349","\\pvr\Series\Boston Legal\Season 01","\\pvr\Series\Boston Legal\Season 01","False","True","\\pvr\Series\Boston Legal\Season 01\S1E09 - A Greater Good.mkv",".mkv","2025-04-02 8:55:36 PM","2025-04-03 12:55:36 AM","2025-04-02 9:28:40 PM","2025-04-03 1:28:40 AM","2025-04-02 9:28:40 PM","2025-04-03 1:28:40 AM",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01\S1E10 - Hired Guns.mkv","Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01","S1E10 - Hired Guns.mkv","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             \\pvr\Series\Boston Legal\Season 01\S1E10 - Hired Guns.mkv
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","S1E10 - Hired Guns","\\pvr\Series\Boston Legal\Season 01\S1E10 - Hired Guns.mkv",,,"S1E10 - Hired Guns.mkv","164045919","\\pvr\Series\Boston Legal\Season 01","\\pvr\Series\Boston Legal\Season 01","False","True","\\pvr\Series\Boston Legal\Season 01\S1E10 - Hired Guns.mkv",".mkv","2025-04-02 9:28:45 PM","2025-04-03 1:28:45 AM","2025-04-02 10:00:52 PM","2025-04-03 2:00:52 AM","2025-04-02 10:00:52 PM","2025-04-03 2:00:52 AM",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01\S1E11 - Schimdt Happens.mkv","Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01","S1E11 - Schimdt Happens.mkv","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             \\pvr\Series\Boston Legal\Season 01\S1E11 - Schimdt Happens.mkv
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","S1E11 - Schimdt Happens","\\pvr\Series\Boston Legal\Season 01\S1E11 - Schimdt Happens.mkv",,,"S1E11 - Schimdt Happens.mkv","156469200","\\pvr\Series\Boston Legal\Season 01","\\pvr\Series\Boston Legal\Season 01","False","True","\\pvr\Series\Boston Legal\Season 01\S1E11 - Schimdt Happens.mkv",".mkv","2025-04-02 10:00:57 PM","2025-04-03 2:00:57 AM","2025-04-02 10:33:16 PM","2025-04-03 2:33:16 AM","2025-04-02 10:33:16 PM","2025-04-03 2:33:16 AM",,"-1","Archive"
"Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01\S1E12 - From Whence We Came.mkv","Microsoft.PowerShell.Core\FileSystem::\\pvr\Series\Boston Legal\Season 01","S1E12 - From Whence We Came.mkv","Microsoft.PowerShell.Core\FileSystem","False","-a---","-a---","File:             \\pvr\Series\Boston Legal\Season 01\S1E12 - From Whence We Came.mkv
InternalName:     
OriginalFilename: 
FileVersion:      
FileDescription:  
Product:          
ProductVersion:   
Debug:            False
Patched:          False
PreRelease:       False
PrivateBuild:     False
SpecialBuild:     False
Language:         
","S1E12 - From Whence We Came","\\pvr\Series\Boston Legal\Season 01\S1E12 - From Whence We Came.mkv",,,"S1E12 - From Whence We Came.mkv","157398644","\\pvr\Series\Boston Legal\Season 01","\\pvr\Series\Boston Legal\Season 01","False","True","\\pvr\Series\Boston Legal\Season 01\S1E12 - From Whence We Came.mkv",".mkv","2025-04-02 10:33:22 PM","2025-04-03 2:33:22 AM","2025-04-02 11:05:50 PM","2025-04-03 3:05:50 AM","2025-04-02 11:05:50 PM","2025-04-03 3:05:50 AM",,"-1","Archive"
